Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0402_1005Metric",-172.564500,-54.345500,0.000000,bottom
"C2","4.7uF","C_Elec_4x5.4",-177.680000,-49.020000,180.000000,bottom
"D1","DIODE","D_SOD-323",-157.718000,-46.740000,180.000000,bottom
"R1","2K","R_0805_2012Metric",-164.860500,-52.245500,0.000000,bottom
"R2","2K","R_0805_2012Metric",-170.114500,-44.200000,0.000000,bottom
"R3","2K","R_0805_2012Metric",-166.003500,-44.200000,0.000000,bottom
"R4","2K","R_0805_2012Metric",-161.732500,-44.200000,0.000000,bottom
"R5","20K","R_0805_2012Metric",-157.518000,-44.200000,0.000000,bottom
"SW1","SW_Push","SW_Push_1P1T_NO_6x6mm_H9.5mm",-162.870000,-38.130000,0.000000,bottom
"SW2","SW_Push","SW_Push_1P1T_NO_6x6mm_H9.5mm",-188.105000,-47.470000,180.000000,bottom
"U1","SeeeduinoXIAO","Seeeduino XIAO-MOUDLE14P-2.54-21X17.8MM",-152.614410,-56.118310,180.000000,bottom
"U2","VL53L0X","SENSOR_VL53L0X",171.464500,-51.460000,180.000000,top
